,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,userid,postCount,followerCount,folloingCount,pidCount,likeCount,commentCount,commentUserList
0,0.0,0.0,0.0,instagram,7164,520000000,130,12,5431000,133069,"['behzad.tabesh', 'zakaria._original', 'sachin_kaintura_143', 'music.clip98', 'ma1d', 'qwasiblay', 'roshangoswami_07', 'mithudas9787', 'timar_79', 'rahul.popper.946', 'vanshika.urf.vanshu', 'talaclip2021', 'dehkade_kalam', 'sujeet_rajput_01', 'rag_morris', 'the_niklo_5656', '9.2v2', 'yosufpayambar', 'elina.___1', '5s5l', 'shaahinmatin', 'mahdidub1f', 'mohamad.dariushi', 'isha____pathania', 'iluuvvme_', 'mi_za', 'visha.rajput_', 'mairifashion', 'hamedtabrizi_3', 'priyanka_shinde_2712_', 'prince__arun__9999', 'y_a_d_a_v_j_e_e_01', 'anoopanuz1845', '3omi_najm', 'kamii_shehzada', 'shiwang.37', '_thanazil_naha_07', 'mathew_posts_shit_memes', 'saat.ma3', 'esteghlalnet', 'innocent_vishwakarma', 'oghenekaroitene', 'lyssatheebratt_', '0q.qg', 'umeshbamil', 'mostafa.sharlot', 'theprettyleoo_', 'vimalkashyap33']"
1,1.0,1.0,0.0,behzad.tabesh,25,11400,94,24,173187,8057,"['hayedeh_hadi', 'mahsa.banaie', 'abbasazordeh4', 'nafies.1', 'tamana.rahimi1112', 'hojat.hashemi2', 'siya.g', 'milad_khodaei1', 'javadriish', 'sadegh__nolove', 'setayeshj471', 'haghighi5450', 'alireza_akbari_1370', 'elahe.hemati2020', 'ali_ghanbari1300', 'asal.mohamadi111', 'fahami_hossein', 'behnam.contractor', 'mohammadmandegar_org', 'mohammad_ayhan1', 'mehdi__1343', 'majidmehrdadian']"
2,2.0,2.0,0.0,zakaria._original,23,13500,2486,23,33528,11229,"['y4seen_1992', 'hasel.darkaleh', 'shoeib_darkaleh_cfz', 'eli_.829', 'haref.dorkaleh.cfz', 'ejaz_darkaleh', 'salman_khan_fan___6062', 'i.mehrz4d', 'faisal_darkaleh', 'helen._.86_', 'mir_mehdi_askani', 'saeed_darkaleh_cfz', 'azombaloch.official', 'salam_baloch0', 'sh4h.dorkaleh', 'djmehran6965', 'r7min_sh7h', '_kaka_0074', 'riyaz_darkaleh_cfz', 'asalok_89', '4bdollh._.albaloshi', 'asman_b24', 'zober_jadgalll', 'ndn_91', 'abdi._.baloch.1', 'shaker___ali', 'shoaib.__.askani', 'omid__irandegani', '_k4dkhod4ei_.7x', 'hadi.__.baloch']"
3,3.0,3.0,0.0,sachin_kaintura_143,7,951,61,7,720,66,"['its_dipanshu_12', 'ajay.ajayrawat.5602', 'kothari_shruti4', 'hacker________12828', 'itz___bawa__rohit______', 'manish_mamgain_40', 'sumitprasadmamgain', '__kuldeeprawat', 'ak_gril10', 'naresh_mamgain_', 'vipin_rawat_11', 'anjalirawat686']"
4,4.0,4.0,0.0,qwasiblay,12,11700,1558,12,21760,643,"['saralopez9190', 'fre_ma.x', 'kwesikendrickk', 'iam_shugamummy', 'kenny_bayoo_', 'prospermicheal_fresh', 'manuella_.xx', 'be_like_ernesto', 'blackgotit_', 'mr.borteyy', 'afyabetty_xx', 'prashantshinde18x', 'lina.xex.blogs', '25_theworld', 'who_is_enyonam', 'loveanimal2210', '__kurteous', 'jamesbond946075', 'bk.agyekum', 'cylla_xxo', 'abenaernan', '66l0rd_b0y', 'omanhene.dessy', 'icetharg_official', 'dadies_bee', 'yeboah.stephenson', 'mrr.president_', '_modeste_celebrity_09', '_mr_moore.x', 'afrakoma.a.owusu', 'love_16215', '_pay.ghees_2811', '_creed.anderson', '__el.roy', 'trends_with_ovick', 'efya_yogurt', 'x_dawwg_', '_realestyoungin38', 'pkberwal2022', 'qojo__qwaqye', 'dirty_tren.t', 'bigger_than_fly', 'smarterkills', '_ben_wavy_', 'iam_azam_ug', 'ohemaa_doreen.xx', 'billygramm_', 'yaa_grace_', 'ugly_dholl']"
5,5.0,5.0,0.0,roshangoswami_07,68,36400,4993,24,5080,281,"['officialkirshna97', 'magno_scavo', 'abhinavyadav_03', 'offic_ialkirshna97', 'rahulshah_______', 'roshangoswami_07', 'kamesh1999das', 'sagarchohan358', 'edit_cute_girl', 'mr_musharraf007', 'ahilhussain_', 'prinshu_kashyap123', 'triptipatre02', 'rkeditorzone', 'rahul_r2__', 'divya15255', 'rikk.786920', '__priyansh___24', 'rohitni872_rn_editing', 'mobile_photographyr', '_ragini_attitude_', 'priith_the_photographer', 'poojarauut392', 'mr.sahilyadav1525', 'shagun.khesharwani_', 'mahi_banna_mikki']"
6,6.0,6.0,0.0,mithudas9787,222,949,31,24,5034,3260,"['nishant__2130', 'singhlakhan752', 'nirajverma6745', 'avtaar_rudra_pooja_rudra', 'kulde_ep1973', 'sapana_gupta_01', 'ratheeshkumar111', 'ratnajha143', 'anurishikesh', 'bhat__nisar.bhat__nisar1', 'laxmi.akshar.patel1024', 'ramnareshgupta6370', 'jakhan5134', 'vishal_rathore_1_13_7', 'babitakumari930499', 'ritu_chauhan_7', 'mdevi3516646', 'ravic8040', 'rajeevsingh0106', 'sarita_bhawar_rishikesh', 'gracetechgaurav', 'khutanprem', 'kunda_n4715', 'pawanjoger12', 's_k__143_8', 'mohitroy8346', 'sarfraz4546', 'khodabhimabhai', 'princess75797579', '_rs3171', 'bi.mal19', '______mr.jay.007___', 'official_satish_94']"
7,7.0,7.0,0.0,timar_79,130,63000,6,12,1318600,1899,"['blog_my_happy', 'shabanie2021', 'fazel__takpar7912', '_fazedep___', 'alirezakhosoos5304', 'fat_emehameri', 'bale.shekaste', 'pesarak.tanha.7912', 'hajizadeabas_', 'rasta01234', 'amir___2909', 'bahsr336', 'rahagharayi', 'elham.zarei1362', 'deepx6amir', 'nafasook__5280', 'parsa47571', 'gamil_cilp', 'fateme_oto5', 'mohsen.3zar', 'everyone6745', '_erfanam_tv', 'farzan.karaj021', 'fa.ranak1441', 'z.s.hossini2001', 'queen1vn', 'ali_sadegii1385', '_fatii.eb', 'gra_ymira', 'mh_ra_n_2003', 'sad.vids2', 'sine_sooz', 'h147041', 'mix.a.mir', 'delbarane_1391', 'psr.bad.1372', 'mahdi.f353', '_cliip.dep', 'tex.donii', 'bahar.jelodari6699']"
8,8.0,8.0,0.0,rahul.popper.946,1329,117000,142,12,31780,185,"['mr_shadankhan01', 'fort_una_95', 'itz_pahadi_0231', 'i_am_rishi_78', 'bts.army6316', 'its_me_surya_356', '00__rahul_3030', 'gaurav_shahare_199', 'rihansabri143', 'cute_anjali_.i', 'roshan__jiii', 'sonu__babu__paswan__ji_', 'igabhi09', 'darshansmiley7', 'mr.rahul_official_143_______', 'tarun___tarun___142', 'offcial_kanhaiyalal', 'taperskhan', 'hyper_______boy', 'trinath_1423', 'your_akash__ak', 'd.i.l.e.s.h.w.a.r', 'psgaming_bgmi_tdm', 'shivam01550', 'solo__king____aravind', 's_u_jal___302', 'santoshgamit932']"
9,9.0,9.0,0.0,vanshika.urf.vanshu,9,1063,56,9,5704,323,"['shaqib407', 'mayank23260', 'jatin_ruhal_hr06', 'darkshadow9273', 'vedikaoffical', 'kkhussain5156', 'innocentashiq143', 'sweet_heart_offcial', 'kuldeepsharma3691', 'himzzzzzzzzzz', 'ravicoolyadav', 'prince_rohtakaala', 'its_sagar_005', 'riyadangofficial', 'bismaawais91', 'shivangii1826', 'ives2346', 'manish9176sharma', 'sakshi_3850', 'bestii980', 'dangrekha1234', 'dangwal.rahul733']"
10,10.0,10.0,0.0,talaclip2021,404,1910,1568,24,102125,96,"['s_a_m_i_n_f', 'pelakekhande2', 'parisa__kamyar_']"
11,11.0,11.0,0.0,rag_morris,2467,406,244,12,59,22,['chef_williamz']
12,12.0,12.0,0.0,yosufpayambar,690,98300,10,12,41163,487,"['hamid.noruzzadeh1', 'mash.twasi', 'vahid.10313', 'darya_ariyayi', 'saat.jazab', 'shirin23487jhhb', 'amir._.hamzenajhad14', 'ava.1.3.7.4', 'elmirakeykhaii', 'kyvanesmailzadeh', 'emperatoor.badha', 'bll.7207', 'saatarzon', 'najmadin.alimoradi', 'nematnikzad42', 'hasanbagheri9861', 'babak_gholinia', 'servat.azizi', 'hozanvalat', 'mirghasemikazem', 'fatane.95', 'amiralimirzayee144', 'abbas.pishyareh4848', 'mansor.tamimi06720', 'hamid_abareghi84', 'mostafaaaa.m68', 'rozh.halat70']"
13,13.0,13.0,0.0,shaahinmatin,610,4426,298,24,10624,1155,"['josephmatayo_', 'amz_giveaways2022', 'yoana__roy_', 'turan.arabani25', 'ssdekh_', 'boardinggate05', 'khaterehmatin', 'audy.choo', 'wendyh7468', 'bind.as6761', 'bhr_shah', 'shaahinmatin', '__stargurll', 'lartmel', 'teddyray0', 'walker_jaxe', 'carolynellie2990', '_amber_barbie', 'lombard_stevenson', 'su.sanmiller___', 'janzena858', 'hoto.art', 'galeriehesse', 'just.w3dd', 'wendypeiqi', 'mark_btc34', 'theessenceidentity', 'fatemebehmadi73', 'sa65589', 'ella._karami', 'james_sfox_bitcoin', 'https.ireneeee', 'faby_cdsouza']"
14,14.0,14.0,0.0,mahdidub1f,93,27200,200,24,249521,2977,"['manizhe.2020', 'khanomaye_kochak', 'bayaz_bulut_1983', 'jokdooney', 'amirshad13', 'mehrana_3663', 'romina_mmd', 'hasan.t.3391', 'l.gol.55oo_', 'mahdidub1f', 'mahdiyeh.bagherrii', 'salinaz_bide_2750', 'mohamedheydara', 'sajaddj1', 'nsn__o_pouya.for.ever', 'parro_tz', 'irajtoudehzaeim', 'hoseynivali65', 'mohammad.abdollahi65', 'gholami_king2', 'makeu3558', 'booksgram.ir', 'farzanehr2', 'filmm_tanz', 'shayesteh_fun', 'nasrin__r1376', 'rahul_________misra______.302_', 'hmid25265', 'hossini9713', 'dorsa2134_', 'mazgiiii90937', 'ali_kazzemi1', 'leila.moradi.varzeghani', 'sarina_ramezani86', 'arsham.arshida_1', 'freshteh.gh72']"
15,15.0,15.0,0.0,mohamad.dariushi,602,58300,201,12,1323612,3147,"['taghdir_talkhh', 'sugand.music', 'music.clip98', 'dariush.fan.dariush', 'delnevis_65', 'deghbali._', 'dr.ray.behdar', '_f_bahadorii', 'shiv_r9888', 'maryamdariushi_', 'meysam_darush', 'wlkh.dm', 'davood64.fans', 'bw.lfdl.47', 'vahidebrahimii6', 'sajad.so90', 'setareh.__setareh', 'music_n_shahram', 'dariushfan.2000', 'tekiye__bar____', 'fati_21311', 'shadi.m.58', 'amo_javad60', 'shahinjavidi15gmail', 'nice_musiic_', 'loooove890', 'leiyla_music', 'maha23467999', 'shahram.king.sara']"
16,16.0,16.0,0.0,mairifashion,576,82400,75,24,162104,28358,"['lailamariawitt', 'sarvan.sarvanraj.566', 'antoninoazzaro71', 'hannahonline', 'tzenypavlou', 'minadakigogo', 'umojaspice', 'gio_torn', 'aftab1121khan', 'zaazlooxeur', 'brahimjamel', 'nikospapas196', 'kelvinolive111', 'fanikiassou', 'ardeleanvasilemihai', 'lyuppa2021', 'gitsazafiropoulou', 'rawtasha', 'natyashba', 'riyasat_9001', 'croubassis', 'taounate2935', 'mariakappami', 'papazisisgiorgos', 'aqif.skura', 'jerrys.markat', 'ranaiqbalnawaz', 'peppes.giorgos', 'menhcrist', 'nikaathina', 'macmusm', 'tastan5763']"
17,17.0,17.0,0.0,hamedtabrizi_3,197,131000,12,24,1182100,2052,"['beauty.stadio8', 'morovati_chaghoo_zanjan', 'negaar5734', 'khndoone.ir', 'theomas__', 'mahdi_tahmasbi1998', 'doaneviesi', 'abollfazl.kils_2626', '__salamat__mehvar__', 'clip.elnazz', 'arashmilan61', 'maryam_kamrran', 'rmeysam566', 'salar_gadimi9', 'mohamad_asghari5621', 'a._parwizzadh88', 'fatemehnouri49', 'razaaskarii', 'zakerghamar__133', 'h_sobhani13870429', 'he_lma_1990', '__salamat_._zendegi__', 'behnam.firouzi1368', 'fatememirdeli5803', 'funkolbeh', 'sana.fm00', 'mhdynzry7107', 'k.rahanjam1', 'mdmbjp', 'azar57579', 'anakny_ii', 'x_x_pourya_x_x', 'mahyar_aghapoor_chobar_', 'nafasaram25', 'seid_mehdi_iavar', 'clip_fatiii', 'edit_aisoda']"
18,18.0,18.0,0.0,priyanka_shinde_2712_,252,43600,164,24,50373,3214,"['vijay__73', 'official_priyanka_2712', 'sunitasainianil', 'tarunverma3201', 'king_khan_salman_1', 'furqan_khan_sahar', 'mr_saavejmalik_143', 'prasad.7775', 'sonali_paril_143_', 'samratsamratchoudhary', 'ganeshwaghmare011', 'ad_itya123456', 'arayeshi_navad', 'sp424102', 'rajdubey552000', 'belal_cb786', 'aslamshaikhaslam.s', 'cute_pakhi.official.0786', 'harish_05_5_', 'tonydias129', 'mayursinh_zala_ilol', 'borichashambhu', 'ch_arslan070', 'shivanisharma8801', 'hkharishgoutham', 'ashwi_n200', 'hkgoutham', 'mangesntha', 'kuldeep_rajput_official_1', 'shekharkumar6614', 'online_ernnig', 'kailashdashore_', 'mohdmmed.hussain', 'skm_00124', 'bhatu.wankhede.123', 'h.r._hb']"
19,19.0,19.0,0.0,kamii_shehzada,43,4998,986,24,8775,276,"['zulkifalkhan77', 'abdul_hafi_awan786', 'qaim.hussain.351', '__c_h_i_s_h_t_i__', 'ma.nahil4153', 'tazaall46', 'aqeelrajasaqib', 'arabia_rose_888', 'ra.bi8312', 'iftikhar.gilgiti', 'daimchanihyoon', 'faryals_beautification_palace', 'ziddi__nawaz', 'itx_shakir_pathan', 'farman.g.96']"
20,20.0,20.0,0.0,shiwang.37,12,3925,230,12,1392,129,"['its___mi_priti', 'raikamlesh428', 'swee.tykumari90', 'wasim___sayyed', '__.kakarot._', 'chhotu__yadav__hacker__7786', 'nidhibarai_09', 'riyarani5252', 'hope_full_paul', 'itz_me_tom_and_jerry_0143', 'nycfam__', 'itz_nazia_14', 'mr.aman.police.up66', '4838badboy']"
21,21.0,21.0,0.0,mathew_posts_shit_memes,24,125,404,24,803,28,"['annajerry2006', 'nmr_0709', 'jivx.14']"
22,22.0,22.0,0.0,innocent_vishwakarma,216,639,266,24,2423,189,"['itsmee2263', 'sheetall.sital', 'lion_heart_vanubha_777', 'alisha___thakur___3910', 'vikas._08', 'harsh_vishwakarma_2263', 'anjalirajput3144', 'sizzling.babe.001']"
23,23.0,23.0,0.0,umeshbamil,52,10100,146,24,11095,777,"['minakshidas23', 'banti_choudhary_gudha', 'nishu_queen_oo8', 'surjeetchoudhay', 'monu_choudhary_1321', 'pr.06.lee', 'the_preetiest_rinki03', 'archnarawat37', 'kiranverma963', 'its_nikita0969', 'pradeep_choudhary_gudha', 'pradeep_chaudhary_21', 'maryanti_lilis_357', 'manish_jaat_1433', 'call_me_choudhary_ji', 'buliya_jaat_0000', 'ajeet_sing__', 'delboygymhead', 'anupama0055']"
24,24.0,24.0,0.0,vimalkashyap33,11,277,81,11,2353,91,"['kattar_ahir_5832', 'vimalkashyap685', 'rinadas572', '15.4.2021_maa', 'seemakashyap34', 'babysonasonasona', 'rajprajapti561', 'zubaid4227', 'prashantpanday581', 'ankitkashyap46', 'royal_rohit_9140']"
25,25.0,25.0,0.0,tamana.rahimi1112,6,733,1359,6,1597,69,"['behzad.tabesh', 'abolfazll___p', 'mohammdnasiri125', 'hadyqrbany42']"
26,26.0,26.0,0.0,behnam.contractor,17,290,240,12,1161,13,"['zolfagharizahra266', 'payam.z93', 'erfonkhosravi2468']"
